"","date","bitcoin","ripple","ethereum"
"1","Feb 20, 2018",11403.7,1.09,895.37
"2","Feb 19, 2018",11225.3,1.14,943.87
"3","Feb 18, 2018",10551.8,1.12,923.92
"4","Feb 17, 2018",11112.7,1.2,974.12
"5","Feb 16, 2018",10233.9,1.14,944.21
"6","Feb 15, 2018",10166.4,1.15,936.98
"7","Feb 14, 2018",9494.63,1.14,923.56
"8","Feb 13, 2018",8598.31,1.03,845.26
"9","Feb 12, 2018",8926.57,1.08,868.71
"10","Feb 11, 2018",8129.97,1,814.66
"11","Feb 10, 2018",8621.9,1.07,860.41
"12","Feb 09, 2018",8736.98,0.954428,883.87
"13","Feb 08, 2018",8265.59,0.805263,817.81
"14","Feb 07, 2018",7621.3,0.723895,757.07
"15","Feb 06, 2018",7754,0.776393,793.12
"16","Feb 05, 2018",6955.27,0.691799,697.95
"17","Feb 04, 2018",8277.01,0.815703,834.68
"18","Feb 03, 2018",9174.91,0.924043,964.02
"19","Feb 02, 2018",8830.75,0.884784,915.78
"20","Feb 01, 2018",9170.54,0.96253,1036.79
"21","Jan 31, 2018",10221.1,1.16,1118.31
"22","Jan 30, 2018",10106.3,1.14,1071.13
"23","Jan 29, 2018",11296.4,1.32,1182.36
"24","Jan 28, 2018",11786.3,1.4,1246.01
"25","Jan 27, 2018",11440.7,1.22,1107.07
"26","Jan 26, 2018",11171.4,1.22,1055.17
"27","Jan 25, 2018",11259.4,1.31,1056.03
"28","Jan 24, 2018",11359.4,1.36,1058.78
"29","Jan 23, 2018",10868.4,1.34,986.23
"30","Jan 22, 2018",10931.4,1.36,1003.26
"31","Jan 21, 2018",11600.1,1.38,1049.58
"32","Jan 20, 2018",12899.2,1.58,1155.15
"33","Jan 19, 2018",11607.4,1.55,1039.1
"34","Jan 18, 2018",11474.9,1.6,1036.28
"35","Jan 17, 2018",11188.6,1.31,1014.25
"36","Jan 16, 2018",11490.5,1.18,1053.69
"37","Jan 15, 2018",13819.8,1.68,1291.92
"38","Jan 14, 2018",13772,1.86,1366.77
"39","Jan 13, 2018",14360.2,2.02,1396.42
"40","Jan 12, 2018",13980.6,2.04,1273.2
"41","Jan 11, 2018",13405.8,1.95,1154.93
"42","Jan 10, 2018",14973.3,1.97,1255.82
"43","Jan 09, 2018",14595.4,2.1,1299.74
"44","Jan 08, 2018",15170.1,2.46,1148.53
"45","Jan 07, 2018",16477.6,3.38,1153.17
"46","Jan 06, 2018",17527,3.09,1041.68
"47","Jan 05, 2018",17429.5,3.05,997.72
"48","Jan 04, 2018",15599.2,3.2,980.92
"49","Jan 03, 2018",15201,3.11,962.72
"50","Jan 02, 2018",14982.1,2.48,884.44
"51","Jan 01, 2018",13657.2,2.39,772.64
"52","Dec 31, 2017",14156.4,2.3,756.73
"53","Dec 30, 2017",12952.2,2.16,717.26
"54","Dec 29, 2017",14656.2,2.21,753.59
"55","Dec 28, 2017",14606.5,1.43,737.02
"56","Dec 27, 2017",15838.5,1.4,762.84
"57","Dec 26, 2017",16099.8,1.19,773.84
"58","Dec 25, 2017",14026.6,1.12,765.83
"59","Dec 24, 2017",13925.8,1.04,694.15
"60","Dec 23, 2017",14699.2,1.17,719.39
"61","Dec 22, 2017",13831.8,1.14,674.86
"62","Dec 21, 2017",15802.9,1.19,821.06
"63","Dec 20, 2017",16624.6,0.775964,819.09
"64","Dec 19, 2017",17776.7,0.791257,826.82
"65","Dec 18, 2017",19114.2,0.778407,794.64
"66","Dec 17, 2017",19140.8,0.728366,719.98
"67","Dec 16, 2017",19497.4,0.758642,696.21
"68","Dec 15, 2017",17706.9,0.756181,684.45
"69","Dec 14, 2017",16564,0.864263,695.82
"70","Dec 13, 2017",16408.2,0.471063,702.77
"71","Dec 12, 2017",17415.4,0.373541,651.43
"72","Dec 11, 2017",16936.8,0.251691,515.14
"73","Dec 10, 2017",15455.4,0.237333,441.72
"74","Dec 09, 2017",15178.2,0.244708,473.5
"75","Dec 08, 2017",16569.4,0.252125,456.03
"76","Dec 07, 2017",17899.7,0.222823,434.41
"77","Dec 06, 2017",14291.5,0.232544,428.59
"78","Dec 05, 2017",11916.7,0.246101,463.28
"79","Dec 04, 2017",11657.2,0.253571,470.2
"80","Dec 03, 2017",11323.2,0.252558,465.85
"81","Dec 02, 2017",11074.6,0.255492,463.45
"82","Dec 01, 2017",10975.6,0.255699,466.54
"83","Nov 30, 2017",10233.6,0.250878,447.11
"84","Nov 29, 2017",9888.61,0.243064,427.52
"85","Nov 28, 2017",10058.8,0.299152,472.9
"86","Nov 27, 2017",9818.35,0.253927,480.36
"87","Nov 26, 2017",9330.55,0.248818,471.33
"88","Nov 25, 2017",8790.92,0.252393,466.28
"89","Nov 24, 2017",8253.69,0.244642,474.91
"90","Nov 23, 2017",8038.77,0.242402,410.17
"91","Nov 22, 2017",8253.55,0.238859,380.65
"92","Nov 21, 2017",8071.26,0.233271,360.4
"93","Nov 20, 2017",8200.64,0.238759,366.73
"94","Nov 19, 2017",8036.49,0.231016,354.39
"95","Nov 18, 2017",7790.15,0.228627,347.61
"96","Nov 17, 2017",7708.99,0.226581,332.39
"97","Nov 16, 2017",7871.69,0.227107,330.92
"98","Nov 15, 2017",7315.54,0.212956,333.36
"99","Nov 14, 2017",6635.75,0.209825,337.63
"100","Nov 13, 2017",6559.49,0.203442,316.72
"101","Nov 12, 2017",5950.07,0.197339,307.91
"102","Nov 11, 2017",6357.6,0.21043,314.68
"103","Nov 10, 2017",6618.14,0.206483,299.25
"104","Nov 09, 2017",7143.58,0.217488,320.88
"105","Nov 08, 2017",7459.69,0.217437,309.07
"106","Nov 07, 2017",7144.38,0.210354,294.66
"107","Nov 06, 2017",7022.76,0.20599,298.89
"108","Nov 05, 2017",7407.41,0.202055,296.26
"109","Nov 04, 2017",7379.95,0.20375,300.47
"110","Nov 03, 2017",7207.76,0.208133,305.71
