beer_id,brewery_id,beer_name,beer_type,abv,seasonality
1,1,Schafly Pilsner,Pilsner,5,Year-Round
3,1,Schafly Kolsch,Kolsch,4.8,Year-Round
4,1,Schafly Pale Ale,Pale Ale,4.4,Year-Round
5,1,Schafly Hefeweizen,Hefeweizen,4.1,Year-Round
6,1,Dry Hopped APA,American Ale,5.9,Year-Round
7,1,Summer Lager,Lager,4.5,Summer
8,1,Oatmeal Stout,Stout,5.7,Year-Round
9,1,Oktoberfest,Lager,5.5,Fall
10,1,Winter ESB Ale,Ale,5.8,Winter
11,1,Raspberry Hefeweizen,Hefeweizen,4.1,Summer
12,1,Schafly Porter,Porter,5.4,Fall
13,1,Coffee Stout,Stout,5.4,Winter
14,1,Extra Stout,Irish Stout,8,Winter
15,1,Schafly IPA,IPA,7,Spring
16,1,American IPA,IPA,7.2,Summer
17,1,Pumpkin Ale,Pumpkin Ale,8,Fall
18,1,Christmas Ale,Ale,8,Winter
19,1,Imperial Stout,Stout,10.5,Year-Round
20,1,Barleywine-Style Ale,Ale,10.2,Year-Round
21,1,Biere de Garde,Ale,7,Year-Round
22,1,Grand Cru Ale,Ale,9,Year-Round
23,1,Tripez,Ale,10,Year-Round
24,1,Quad Rupel Ale,Ale,12,Year-Round
25,2,Atheist Ale ,IPA,7,Year-Round
26,2,"Hop\, Lock & Drop It ",Pale Ale,5,Fall
27,2,Believers Brew ,Stout,7,Year-Round
28,2,Passport Pale Ale ,Pale Ale,5,Year-Round
29,2,Satanic Saison ,Saison,8,Summer
30,2,Capulus,Stout,7,Year-Round
31,2,Braun ,Brown Ale,7,Year-Round
32,2,Delphian,Blonde Ale,7,Year-Round
33,2,Pinot Saison,Saison,7,Year-Round
34,2,Apocryph,Saison,7,Year-Round
35,3,citrapolis, IPA,6.8,Year-Round
36,3,Odinson,IPA,6.6,Year-Round
37,3,All Black,IPA,6.5,Winter
38,3,Arkham's Finest,Stout,8,Winter
39,3,The Heeler,Pale Ale,6.5,Spring
40,3,Mon Precieux,Tripel,7.8,
41,3,Clandestine,Belgian Brown Ale,6.8,Spring
42,3,Ms. Sally,Pilsner,4.8,
43,3,Dew Brew,Ale,5.5,Year-Round
44,4,Winged Nut,Ale,5.2,Year-Round
45,4,Hopfen,Lager,6.1,Year-Round
46,4,Zwickel,Pilsner,5.1,Year-Round
47,4,Schnickelfritz,Pilsner,5,Year-Round
48,4,Pierre's Wit,Wheat Lager,5.2,Year-Round
49,4,Erlkonig,Wheat Lager,8,Year-Round
50,4,Schlossturm,Lager,5.2,Year-Round
51,4,Ku'damn,Lager,4.2,Year-Round
52,4,Stammtissch,Pilsner,5.4,Year-Round
53,4,Dorfbier,Lager,5.2,Year-Round
54,4,Teufelspakt,Black Lager,4.7,Year-Round
55,4,Mercator,Sour Pilsner,6.3,Year-Round
56,4,Apotheosis,Saison,5.3,Year-Round
57,4,Fantasyland,IPA,6.5,Year-Round
58,4,Holzrauch,Smoked Beer,5.3,Year-Round
59,4,O'Florian's,Stout,4.2,Year-Round
60,4,Oxnbrau,Pilsner,8,Year-Round
61,4,Kinsale,Stout,7,Year-Round
62,4,Xaver,Pilsner,5.8,Year-Round
63,4,Innovator,Pale Ale,10.5,Year-Round
64,4,Forest Park Pilsner,Pilsner,5.2,Year-Round
65,4,Reine Liebe,Pilsner,5,Year-Round
66,4,Powell 50,Red Ale,4.6,Year-Round
67,4,Wolpertinger,Pilsner,11,Year-Round
68,4,Vanilla Mint  Kinsale,Stout,7,Year-Round
69,4,Urban Underdog,American Lager,4.5,Year-Round
70,5,Art of Neurosis,IPA,7.6,Year-Round
71,5,Brewcocky,Double IPA,9.3,Year-Round
72,5,El Gato Grande,IPA,7.6,Year-Round
73,5,Green Bird Gose,Lager,4.5,Year-Round
74,5,Hibiscus Wit,Wheat Lager,5.2,Year-Round
75,5,Katy,Saison,5.4,Year-Round
76,5,Little,Big Hop,4.9,Year-Round
77,5,Sub-Mission,IPA,6,Year-Round
78,5,Technical Ecstacy,Pilsner,5.4,Year-Round
79,5,Brewligans,IPA,6.5,Year-Round
80,5,Cat Spit Stout,Stout,7,Year-Round
81,5,Liquid Spiritual Delight,stout,11.5,Year-Round
82,5,Weiss & Virtue,Hefeweizen,5.1,Year-Round
83,5,Yippie Rye-Yay,IPA,6,Year-Round
84,6,STL Best Ale,Ale,4,Year-Round
85,6,American Borown Ale,Brown Ale,5.5,Year-Round
86,6,The Angel and the Sword,Ale,4.6,Year-Round
87,6,Brown Ale,Brown Ale,4.8,Year-Round
88,6,Rye Pale Ale,Rye Pale Ale,4.5,Year-Round
89,6,Stevies' 5 Star,Amber Ale,5,Year-Round
90,6,70 Shilling,Scottish Ale,3.5,Year-Round
91,6,Civil Life Ale,Cream Ale,4.3,Year-Round
92,6,Civil Life Alt,Ale,4.9,Year-Round
93,6,American Session Ale,Pale Ale,4.2,Year-Round
94,6,Civil Life Blonde,Ale,7,Year-Round
95,6,Belgian Dubbel,Ale,6,Year-Round
96,6,Big American Stout,Stout,6.4,Year-Round
97,6,Big Year Brown,Brown Ale,6,Year-Round
98,6,Black Ale,Ale,6,Year-Round
99,6,British Bitter,English Ale,4.3,Year-Round
100,6,British Bitter Mild,English Ale,4.2,Year-Round
101,7,Session Ale,Ale,4.6,Year-Round
102,7,Dry Brown,Ale,5.4,Winter
103,7,Mahlab ESB,English Ale,5.2,Year-Round
104,7,Copper ale,Ale,4.7,Winter
105,7,Porter,Porter,5.6,Year-Round
106,7,#Basic Blonde,Blonde Ale,5.1,Year-Round
107,7,AIPA,IPA,5.7,Year-Round
108,7,Meteor IPA,IPA,5,Year-Round
109,7,Peacon Chicory Stout,Stout,5.5,Year-Round
110,7,Thia Basil IPA,IPA,6,Winter
111,7,Hopped Wheat,Wheat Lager,4.6,Year-Round
112,7,Second Lunch Pale Ale,Pale Ale,4.5,Year-Round
113,7,Jasmine Gose,Lager,5.1,Winter
114,8,Vanilla Cream Ale,Ale,5.5,Year-Round
115,8,Ryane's Red,Amber Ale,6.8,Year-Round
116,8,IPA,IPA,6.2,Year-Round
117,8,Imperial Pumpkin Porter,Porter,9,Fall
118,9,Minivan Maestro,Hefeweizen,4.6,Year-Round
119,9,Old Dog Skip,Lager,4.9,Year-Round
120,9,Caroline ,Pale Ale,5.7,Year-Round
121,9,Seperation Anxiety,Lager,8.3,Year-Round
122,9,Pizza Bones,IPA,5.9,Year-Round
123,9,Bunk's Belgian,Belgian Ale,5.5,Year-Round
124,10,Apricot Layla,Ale,6,Year-Round
125,10,Black Dog,Porter,9,Year-Round
126,10,Bohemian Rhaspberry,Ale,6,Year-Round
127,10,Crowd Surfer,Pale Ale,5.7,Year-Round
128,10,Kiss The Sky,Rye IPA,9,Year-Round
129,10,Layla,Sour Ale,6,Year-Round
130,10,Left Coast Envy IPA,IPA,6.7,Year-Round
131,10,Petty Wage,Saison,5.8,Year-Round
132,10,Prison Bound,Pale Ale,5.4,Year-Round
133,10,Ruby Soho IPA,IPA,6.8,Year-Round
134,10,Squeeze Box Lemon Wheat,Wheat Ale,4.8,Year-Round
135,10,Vanilla Coffee Underbrown,Brown Ale,6.5,Year-Round
136,10,Velvet Underbrown,Brown Ale,6.5,Year-Round
137,11,Ale Fleur One,Pale Ale,4.7,Year-Round
138,11,Sugar Creek Lager,Lager,4.2,Year-Round
139,11,Pumpkin Ale,Pumpkin Ale,5.8,Fall
140,11,Spring Fling,Wheat Ale,3.1,Spring
141,11,Green Mistress,Ale,8.3,Year-Round
142,11,Super Chief IPA,IPA,6.1,Spring
143,11,Midnight Train ,Black Lager,4.8,Year-Round
144,11,Blackberry Wheat,Wheat Ale,4.8,Year-Round
145,11,Lord Otto's Porter,Porter,6.1,Year-Round
146,11,Peaberry Coffee Stout,Stout,10.2,Year-Round
147,11,Red IPA,IPA,10.2,Year-Round
148,11,Big Five – OH,Ale,8.2,Spring
149,11,Paddy Shack Red,Red Ale,5.1,Spring
150,12,Belgian Small Beer,Wheat Ale,5.2,Year-Round
151,12,Belgian Steam Beer,Wheat Ale,5.2,Year-Round
152,12,Belgian Ale,Wheat Ale,5.2,Year-Round
153,12,Belgian Porter,Porter,5.2,Year-Round
154,12,Belgian Summer,Wheat Ale,5.2,Summer
155,13,Rambler's Red Ale,Red Ale,5.5,Year-Round
156,13,Halley's Blueberry Saison,Saison,6.8,Year-Round
157,13,Jumping Frog IPA,IPA,6.5,Year-Round
158,13,Huck Finn's Habanero Apricot Wheat,Wheat Ale,5.5,Year-Round
159,13,Clemens Kolsch,Kolsch,4.4,Year-Round
